Data_BR;Hora_BR;SO2_BR;CO_BR;O3_BR;MP_BR;NO_BR;NOX_BR;NO2_BR;VEL_VENTO_BR;DIR_VENTO_BR;TEMP_BR;UMID_BR;STWD_BR
8/11/2013;15;0.3;0.86;8.3;116.7;148.9;156.9;10.6;3;48.7;30;52;28.2
8/11/2013;16;0.1;0.8;8.4;79.4;130.8;138.9;10.1;2.9;56.3;29.3;56;33.3
8/11/2013;17;0.1;0.96;6.2;97.2;153.2;161.9;11.5;2.6;53.7;28.7;59;30.4
8/11/2013;18;0;1.25;4.2;78;161.7;169.6;9.6;2.3;44.1;27.3;64;30.9
8/11/2013;19;0.2;1.33;2.4;106.6;195.3;202.6;11.9;2.3;39.3;26.7;67;25.1
8/11/2013;20;0.4;1.13;1.6;88.8;197.9;203;8.6;1.8;41.4;26.4;68;27.8
8/11/2013;21;0.3;0.78;1.5;92.2;169.1;176.2;8.3;2.3;33.8;26.1;70;22.6
8/11/2013;22;0.1;0.75;0.8;76.7;149;157.6;8.5;1.7;29.8;25.8;71;25.1
8/11/2013;23;0;0.67;1.8;63.1;130;138.3;7.9;2.1;27.2;25.5;71;22.8
8/11/2013;24;0;0.44;3;50.7;105.4;112.7;7.8;1.9;24.9;25.2;73;22.5
9/11/2013;1;0.5;0.29;5.3;83.5;71.7;79.3;7.3;1.5;25.7;24.8;75;22.5
9/11/2013;2;0.4;0.24;4.1;54.2;54.9;64.4;9;0.8;12.3;24.4;77;28.1
9/11/2013;3;0.3;0.23;5.5;49.3;39.9;48.9;8.5;0.8;331.1;24.2;78;22.3
9/11/2013;4;0.3;0.23;1.3;47.8;53.1;65.2;11.6;0.4;17.5;23.8;80;29.1
9/11/2013;5;0.4;0.46;0;49.2;101.9;109.6;7.3;0.4;5;23.4;82;23.7
9/11/2013;6;0.7;0.73;0.4;56.6;213.3;216.7;4.4;0.7;23.2;23.6;81;24.6
9/11/2013;7;1.1;0.78;1.8;99.7;170.2;178.2;7.7;1.2;12.9;26;71;31.5
9/11/2013;8;4.8;0.9;4.9;80.3;153.4;163.3;10.9;1.2;357.8;27.6;64;40.5
9/11/2013;9;2.9;1.02;7.7;75.7;152.8;167.4;14.9;2.1;8.2;28.6;58;31.1
9/11/2013;10;3.7;1.27;21.4;83.9;117.5;152.5;34.8;1.4;233.4;29;61;44.6
9/11/2013;11;4.5;1.48;25.3;64.6;90.8;140.4;49.2;2.1;190.9;28.3;64;26.1
9/11/2013;12;3.1;1.46;15.5;102.1;124.2;152.3;29;1.7;352.8;29.4;56;42.9
9/11/2013;13;1.8;0.92;12;116;129;144.1;16.1;2.6;53.8;30.5;50;38.2
9/11/2013;14;1.4;0.6;12;95.7;91.4;105.5;13.8;2.9;63.3;31.3;47;33.7
9/11/2013;15;1;0.54;13.6;72.5;73.6;85.5;11.8;2.9;64.3;30.9;50;36.8
9/11/2013;16;1;0.41;13.3;55.8;53.3;66.9;13.2;3.2;49.7;30.1;54;31.9
9/11/2013;17;1;0.62;8.5;99.1;74.7;87.7;12.7;2.5;52.3;29.1;59;33.2
9/11/2013;18;0.9;0.74;6.9;105.4;86.7;100.8;14.2;2.4;44.4;27.5;64;31.8
9/11/2013;19;0.9;0.73;4.9;69.7;98.3;110.7;12.4;2.9;26.2;26.9;67;21.5
9/11/2013;20;0.8;0.55;6.5;58.7;86.9;98.7;12;3;28;26.5;69;21.3
9/11/2013;21;1.3;0.49;7.7;73;70.8;82.8;11.6;2.9;30.4;26.3;72;21.4
9/11/2013;22;2.8;0.54;5.6;60.9;73.2;85;11.5;2.6;34.4;26;74;21
9/11/2013;23;5.2;0.58;4.5;60.6;76.3;87.6;10.9;2.2;23.5;26;74;22
9/11/2013;24;7.3;0.43;7.4;65.2;64.6;74.1;9.2;2.3;24.3;25.9;74;22.8
10/11/2013;1;0.4;0.23;9.9;56;46.9;54.4;7.1;2.1;24.7;25.8;74;21.5
