Data_CG;Hora_CG;SO2_CG;CO_CG;O3_CG;MP_CG;NO_CG;NOX_CG;NO2_CG;VEL_VENTO_CG;DIR_VENTO_CG;TEMP_CG;UMID_CG;STWD_CG
2/7/2011;5;0.4;0.01;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;6;0.3;0;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;7;0.2;0;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;8;0.3;0.03;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;9;0.4;0.01;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;10;0.4;0.01;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;11;0.4;0;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;12;0.3;0.01;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;13;0.2;0;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;14;0.2;0.01;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;15;0.1;0;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;16;0.4;0;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;17;0.2;0;NoData;<Samp;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;18;0;0;NoData;2.9;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;19;0.1;0.02;NoData;6.4;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;20;0.1;0.06;NoData;19.2;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;21;0.2;0;NoData;19.2;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;22;0.2;0.06;NoData;19;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;23;0.3;0.06;NoData;19.3;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
2/7/2011;24;0.5;0.01;NoData;20.3;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;1;0.1;0.05;NoData;19.5;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;2;0;0.1;NoData;16.5;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;3;0;0.04;NoData;16.4;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;4;0;0;NoData;15.8;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;5;0.4;0.05;NoData;15.8;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;6;0.5;0.05;NoData;15.7;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;7;0.5;0.07;NoData;17.8;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;8;0.6;0.15;NoData;25.2;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;9;0.6;0.16;NoData;22.5;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;10;0.7;0.23;NoData;12.2;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;11;0.6;0.27;NoData;14.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;12;0.6;0.29;NoData;32.3;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;13;0.6;0.37;NoData;13.3;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;14;0.6;0.29;NoData;40;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;15;0.6;0.27;NoData;23.4;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;16;0.6;0.33;NoData;51.4;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;17;0.6;0.39;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;18;0.8;0.55;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;19;0.9;0.44;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;20;0.8;0.54;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;21;0.6;0.29;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;22;0.6;0.42;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;23;0.6;0.3;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
3/7/2011;24;0.5;0.18;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;1;0.6;0.14;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;2;0.5;0.02;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;3;0.5;0.01;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;4;0.6;0;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;5;0.3;0;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;6;0.4;0.04;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;7;0.9;0.26;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;8;0.8;0.27;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;9;0.8;0.32;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;10;0.8;0.41;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;11;0.9;0.49;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;12;1.1;0.46;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
4/7/2011;13;Span;Span;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
4/7/2011;14;Span;Span;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
4/7/2011;15;Span;Span;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
4/7/2011;16;Span;0.51;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
4/7/2011;17;Span;0.47;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
4/7/2011;18;Span;0.58;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
4/7/2011;19;Span;0.75;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
4/7/2011;20;Span;0.8;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
4/7/2011;21;Span;0.79;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
4/7/2011;22;Span;0.71;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
4/7/2011;23;Span;0.65;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
4/7/2011;24;Span;0.57;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
5/7/2011;1;Span;0.56;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
5/7/2011;2;Span;0.43;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
5/7/2011;3;Span;0.39;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
5/7/2011;4;Span;0.35;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
5/7/2011;5;Span;0.32;Span;Span;Span;Span;Span;NoData;NoData;NoData;NoData;NoData
