Data_DETRAN;Hora_DETRAN;SO2_DETRAN;CO_DETRAN;O3_DETRAN;MP_DETRAN;NO_DETRAN;NOX_DETRAN;NO2_DETRAN;VEL_VENTO_DETRAN;DIR_VENTO_DETRAN;TEMP_DETRAN;UMID_DETRAN;STWD_DETRAN;CHUVA_DETRAN
9/1/2013;4;Span;0.12;Span;Span;17.1;26.2;9;OffScan;OffScan;30.7;56;OffScan;OffScan
9/1/2013;5;1.4;0.15;7.3;WarmUp;19.1;30.9;11.8;OffScan;OffScan;30.4;58;OffScan;OffScan
9/1/2013;6;0.6;0.14;6.2;WarmUp;13.3;24.3;11;OffScan;OffScan;28.8;62;OffScan;OffScan
9/1/2013;7;0.3;0.08;5.5;13.4;14.8;28.9;14.2;OffScan;OffScan;27.8;64;OffScan;OffScan
9/1/2013;8;0.4;0.12;3.1;14;33.5;49.8;16.3;OffScan;OffScan;27.6;65;OffScan;OffScan
9/1/2013;9;0.3;0.09;1.9;11.2;38.7;54.4;15.7;OffScan;OffScan;27.5;66;OffScan;OffScan
9/1/2013;10;0.2;0.11;2;11.1;30.8;46.9;16.2;OffScan;OffScan;27.3;67;OffScan;OffScan
9/1/2013;11;0.1;0.08;4.4;17.8;7.2;18.4;11.1;OffScan;OffScan;27.2;69;OffScan;OffScan
9/1/2013;12;0.6;0.05;7.5;18.1;2.8;11.2;8.5;OffScan;OffScan;26.9;70;OffScan;OffScan
9/1/2013;13;0.6;0.07;8.3;15.7;0;4.5;5.1;OffScan;OffScan;26.4;73;OffScan;OffScan
9/1/2013;14;0.6;0.14;6.9;15.6;0;4.4;5.2;OffScan;OffScan;26;75;OffScan;OffScan
9/1/2013;15;0.6;0.12;6.1;20.2;0;4;4.8;OffScan;OffScan;25.6;77;OffScan;OffScan
9/1/2013;16;0.7;0.12;6.4;20.4;1;4.1;3.7;OffScan;OffScan;25.3;78;OffScan;OffScan
9/1/2013;17;0.8;0.28;1.8;18.3;15.1;23.5;8.4;OffScan;OffScan;25.1;79;OffScan;OffScan
