Data_DT;Hora_DT;SO2_DT;CO_DT;O3_DT;MP_DT;NO_DT;NOX_DT;NO2_DT;VEL. VENTO_DT;DIR. VENTO_DT;TEMP_DT;UMID_DT;STWD_DT;
19/6/2011;1;NoData;0.46;0.5;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;2;NoData;0.42;0.8;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;3;NoData;0.4;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;4;NoData;0.42;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;5;NoData;0.41;0.8;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;6;NoData;0.38;0.8;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;7;NoData;0.36;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;8;NoData;0.37;0.7;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;9;NoData;0.4;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;10;NoData;0.39;0.8;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;11;NoData;0.36;0.9;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;12;NoData;0.31;0.9;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;13;NoData;0.28;1;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;14;NoData;0.3;0.9;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;15;NoData;0.32;0.8;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;16;NoData;0.33;0.7;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;17;NoData;0.35;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;18;NoData;0.37;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;19;NoData;0.42;0.5;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;20;NoData;0.46;0.7;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;21;NoData;0.49;0.7;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;22;NoData;0.51;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;23;NoData;0.5;0.5;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
19/6/2011;24;NoData;0.43;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;1;NoData;0.42;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;2;NoData;0.43;0.7;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;3;NoData;0.43;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;4;NoData;0.42;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;5;NoData;0.42;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;6;NoData;0.41;0.7;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;7;NoData;0.41;0.7;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;8;NoData;0.45;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;9;NoData;0.48;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;10;NoData;0.48;0.9;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;11;NoData;0.4;1.1;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;12;NoData;0.29;2.1;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;13;NoData;0.33;1.1;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;14;NoData;0.32;0.9;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;15;NoData;0.24;1.1;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;16;NoData;<Samp;<Samp;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;17;NoData;0.28;0.5;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;18;NoData;0.43;0.5;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;19;NoData;0.47;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;20;NoData;0.5;0.7;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;21;NoData;0.5;0.4;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;22;NoData;0.5;0.4;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;23;NoData;0.49;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
20/6/2011;24;NoData;0.43;0.4;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;1;NoData;0.4;0.3;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;2;NoData;0.37;0.4;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;3;NoData;0.36;0.5;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;4;NoData;0.34;0.4;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;5;NoData;0.33;0.6;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;6;NoData;0.34;0.4;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;7;NoData;0.37;0.5;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;8;NoData;0.42;0.4;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;9;NoData;0.39;1;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;10;NoData;0.38;2.1;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;11;NoData;0.4;3;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;12;NoData;0.39;4.5;<Samp;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;13;NoData;0.37;5.7;0;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;
21/6/2011;14;NoData;0.23;6.9;NoData;20.1;31.7;11.6;2.8;179.8;27.5;64;25.2;
21/6/2011;15;NoData;0.23;8.1;NoData;22.2;30.1;7.8;2.7;195.8;27.3;65;25.2;
21/6/2011;16;NoData;0.33;6.2;NoData;28.2;37;8.8;2.4;187.9;26.7;68;23.9;
21/6/2011;17;NoData;0.34;4.8;NoData;32.5;41.7;9.2;1.8;178.4;25.8;71;31.1;
21/6/2011;18;NoData;0.29;3.1;NoData;30.6;40;9.5;1.6;166.7;25.1;71;32.3;
21/6/2011;19;NoData;0.36;1.9;NoData;30.8;40.8;10;2.1;176;25.2;70;27.8;
21/6/2011;20;NoData;0.33;3.5;NoData;31.4;41.7;10.3;1.6;179.7;25;71;27.5;
21/6/2011;21;NoData;0.22;2.4;NoData;23.9;34;10.1;1.2;167.6;24.3;73;29.5;
