Data_ITA;Hora_ITA;SO2_ITA;CO_ITA;O3_ITA;MP_ITA;NO_ITA;NOX_ITA;NO2_ITA;VEL_VENTO_ITA;DIR_VENTO_ITA;TEMP_ITA;UMID_ITA;STWD_ITA
18/10/2013;13;0;0.17;InVld;RS232;RS232;RS232;RS232;6.5;134.5;26.9;60;20.3
18/10/2013;14;0;0.14;InVld;RS232;RS232;RS232;RS232;6.7;136;26.9;60;21.7
18/10/2013;15;0;0.35;InVld;RS232;RS232;RS232;RS232;6.5;134.6;26.7;62;21.1
18/10/2013;16;0;0.41;InVld;RS232;RS232;RS232;RS232;6.3;135.2;26.2;64;21.1
18/10/2013;17;0;0.47;InVld;RS232;RS232;RS232;RS232;4.1;129.4;25.7;67;20.7
18/10/2013;18;0;0.57;InVld;RS232;RS232;RS232;RS232;2.6;125.3;24.9;72;28.2
18/10/2013;19;0;0.73;InVld;RS232;RS232;RS232;RS232;1.5;107.9;24.8;73;47.2
18/10/2013;20;0;0.77;InVld;RS232;RS232;RS232;RS232;1;103.7;24.7;74;54.2
18/10/2013;21;0;0.85;InVld;RS232;RS232;RS232;RS232;1.4;79.9;24.9;73;51.1
18/10/2013;22;0;0.71;InVld;RS232;RS232;RS232;RS232;1.4;69.2;24.7;75;52
18/10/2013;23;0;0.61;InVld;RS232;RS232;RS232;RS232;1.8;65.1;24.4;75;44.9
18/10/2013;24;0;0.47;InVld;RS232;RS232;RS232;RS232;1.5;57.2;24.1;78;49.9
19/10/2013;1;0;0.36;InVld;RS232;RS232;RS232;RS232;2.6;60.8;23.9;79;36.4
19/10/2013;2;0;0.34;InVld;RS232;RS232;RS232;RS232;2.7;65.1;23.6;80;32.9
19/10/2013;3;0;0.37;InVld;RS232;RS232;RS232;RS232;2.8;70.8;23.3;82;28.2
19/10/2013;4;0;0.37;InVld;RS232;RS232;RS232;RS232;1.8;72.2;23;83;32.6
19/10/2013;5;0;0.4;InVld;RS232;RS232;RS232;RS232;1.7;81.2;22.4;85;30.4
19/10/2013;6;0;0.49;InVld;RS232;RS232;RS232;RS232;3.6;75.8;23.2;82;20.8
19/10/2013;7;0;0.64;InVld;RS232;RS232;RS232;RS232;4.5;71.3;23.9;79;24.6
19/10/2013;8;0;0.63;InVld;RS232;RS232;RS232;RS232;5.3;64.5;25.3;73;28.3
19/10/2013;9;0.1;0.63;InVld;RS232;RS232;RS232;RS232;5.1;69;27.2;64;27.6
19/10/2013;10;0.1;0.52;InVld;RS232;RS232;RS232;RS232;3.7;84.3;27.5;64;29.1
19/10/2013;11;0;0.59;InVld;RS232;RS232;RS232;RS232;2.4;73.1;28.1;65;48.4
19/10/2013;12;0.1;0.44;InVld;RS232;RS232;RS232;RS232;4.4;97;28;64;30.9
19/10/2013;13;0.1;0.33;InVld;RS232;RS232;RS232;RS232;2.7;115.6;27.4;66;33.8
19/10/2013;14;0;0.25;InVld;RS232;RS232;RS232;RS232;4.7;126.2;27.5;66;21
19/10/2013;15;0;0.19;InVld;RS232;RS232;RS232;RS232;4.3;126.4;27.1;66;21.4
19/10/2013;16;0;0.38;InVld;RS232;RS232;RS232;RS232;2.2;97.1;28.2;61;41.9
19/10/2013;17;0.3;0.53;InVld;RS232;RS232;RS232;RS232;2.7;61.3;27.7;60;50.2
19/10/2013;18;0.3;0.64;InVld;RS232;RS232;RS232;RS232;2.3;58.8;25.9;66;52.5
19/10/2013;19;0.2;0.82;InVld;RS232;RS232;RS232;RS232;3.2;63.5;25.3;73;40.2
19/10/2013;20;0.1;0.61;InVld;RS232;RS232;RS232;RS232;1.5;70;25;76;53.1
19/10/2013;21;0.1;0.52;InVld;RS232;RS232;RS232;RS232;1.1;77.4;24.9;78;55.2
19/10/2013;22;0;0.51;InVld;RS232;RS232;RS232;RS232;1.2;76.4;24.8;79;53.9
19/10/2013;23;0;0.53;InVld;RS232;RS232;RS232;RS232;1.4;65.1;24.7;79;56
19/10/2013;24;0;0.41;InVld;RS232;NoData;NoData;RS232;3.9;63.2;24.5;79;33.8
20/10/2013;1;0;0.25;InVld;RS232;RS232;RS232;RS232;3.9;65.4;24.2;80;30.9
20/10/2013;2;0;0.18;NoData;NoData;RS232;RS232;NoData;3.8;62.7;23.9;81;31.6
20/10/2013;3;0;0.3;InVld;RS232;RS232;RS232;RS232;3.2;67.6;23.9;81;29.7
20/10/2013;4;0;0.29;InVld;RS232;RS232;RS232;RS232;2.6;61;23.7;82;30.3
20/10/2013;5;0;0.24;InVld;RS232;RS232;RS232;RS232;1.6;61.4;23.5;83;39.7
20/10/2013;6;0;0.38;InVld;RS232;RS232;RS232;RS232;0.4;115.4;22.5;87;40.9
20/10/2013;7;0;0.49;InVld;RS232;RS232;RS232;RS232;2.9;74.2;24;80;28
20/10/2013;8;0;0.36;InVld;RS232;RS232;RS232;RS232;4.6;64.6;25.9;70;30.7
20/10/2013;9;0.1;0.31;InVld;RS232;RS232;RS232;RS232;4.6;60.4;27.4;61;37
20/10/2013;10;0.3;0.28;InVld;RS232;RS232;RS232;RS232;5;67.3;28.3;56;30.6
20/10/2013;11;0.2;0.26;InVld;RS232;RS232;RS232;RS232;2.6;111.2;27.9;62;37.5
20/10/2013;12;0.1;0.33;InVld;RS232;RS232;RS232;RS232;2.5;102.8;26.6;70;42.9
20/10/2013;13;0;0.28;InVld;RS232;RS232;RS232;RS232;2.9;110;28;66;34.3
20/10/2013;14;0;0.21;InVld;RS232;RS232;RS232;RS232;4.4;128.8;26.9;69;20.3
20/10/2013;15;0;0.21;InVld;RS232;RS232;RS232;RS232;4.3;129.3;26.4;71;22.7
20/10/2013;16;0.1;0.2;InVld;RS232;RS232;RS232;RS232;4.1;130.8;26;73;22
20/10/2013;17;0;0.18;InVld;RS232;RS232;RS232;RS232;3.5;123.6;25.6;75;17.3
20/10/2013;18;0;0.26;InVld;RS232;RS232;RS232;RS232;2.1;124.3;25;78;28.1
20/10/2013;19;0;0.24;InVld;RS232;RS232;RS232;RS232;1.9;116.6;24.8;80;25.5
20/10/2013;20;0;0.19;InVld;RS232;RS232;RS232;RS232;2.5;122.4;24.7;81;18.8
20/10/2013;21;0;0.17;InVld;RS232;RS232;RS232;RS232;1.9;118;24.7;80;31.7
20/10/2013;22;0;0.1;InVld;RS232;RS232;RS232;RS232;1.7;114.9;24.6;82;24.8
20/10/2013;23;0;0.06;InVld;RS232;RS232;RS232;RS232;1.7;116.2;24.6;82;34
20/10/2013;24;0;0.15;InVld;RS232;RS232;RS232;RS232;1.5;67.1;24.6;82;44.2
21/10/2013;1;0;0.13;InVld;RS232;RS232;RS232;RS232;3.3;67;24.4;81;29.5
21/10/2013;2;0;0.16;InVld;RS232;RS232;RS232;RS232;3;68.7;24;83;28.1
21/10/2013;3;0;0.15;InVld;RS232;RS232;RS232;RS232;2.8;67.5;23.7;84;29.8
21/10/2013;4;0;0.19;InVld;RS232;RS232;RS232;RS232;0.6;98.4;23.1;86;37.6
21/10/2013;5;0;0.21;InVld;RS232;RS232;RS232;RS232;0.7;94.2;23.1;87;50
21/10/2013;6;0;0.43;InVld;RS232;RS232;RS232;RS232;2.4;67.9;23.9;84;30.4
21/10/2013;7;0.1;0.93;InVld;RS232;RS232;RS232;RS232;1.2;69.4;24.9;79;53.6
21/10/2013;8;0;0.5;InVld;RS232;RS232;RS232;RS232;2.3;111.2;26.7;69;30.5
21/10/2013;9;0;0.41;InVld;RS232;RS232;RS232;RS232;3.2;116.9;27.1;66;35
21/10/2013;10;0;0.19;InVld;RS232;RS232;RS232;RS232;5;128.9;27;68;21.5
21/10/2013;11;0;0.13;InVld;RS232;RS232;RS232;RS232;6.5;133.1;27.3;67;21.5
21/10/2013;12;0;0.11;InVld;RS232;RS232;RS232;RS232;6.2;128.8;27.5;67;19.5
21/10/2013;13;0;0.13;InVld;RS232;RS232;RS232;RS232;5.5;124.9;28.1;65;21.3
21/10/2013;14;0;0.2;InVld;RS232;RS232;RS232;RS232;5.2;127.5;27.8;66;24.3
21/10/2013;15;0.1;0.28;InVld;RS232;RS232;RS232;RS232;5.4;128.3;27.9;63;20.9
21/10/2013;16;0.1;0.32;InVld;RS232;RS232;RS232;RS232;5.1;130.8;26.8;65;21.2
21/10/2013;17;0.1;0.37;InVld;RS232;RS232;RS232;RS232;3.2;116.3;26.4;68;25.1
21/10/2013;18;0.1;0.5;InVld;RS232;RS232;RS232;RS232;2.5;114;25.3;71;30.1
21/10/2013;19;0.1;0.58;InVld;RS232;RS232;RS232;RS232;1;112.2;24.9;73;48.3
21/10/2013;20;0.1;0.43;InVld;RS232;RS232;RS232;RS232;1;118.8;24.6;76;43.2
21/10/2013;21;0.1;0.4;InVld;RS232;RS232;RS232;RS232;1;111.3;24.5;76;53.5
21/10/2013;22;0.1;0.23;InVld;RS232;RS232;RS232;RS232;2.1;123.9;24.3;76;21.2
21/10/2013;23;0.1;0.18;InVld;RS232;RS232;RS232;RS232;2;120;24.2;76;19.8
21/10/2013;24;0.1;0.11;InVld;RS232;RS232;RS232;RS232;1.5;121.6;24;77;31.9
22/10/2013;1;0;0.07;InVld;RS232;RS232;RS232;RS232;1.6;131.8;24;77;30.6
22/10/2013;2;0.1;0.18;InVld;RS232;RS232;RS232;RS232;1.1;129.4;23.6;78;25.8
22/10/2013;3;0.2;0.17;InVld;RS232;RS232;RS232;RS232;0.4;121.9;23.5;78;61.1
22/10/2013;4;0.2;0.18;InVld;RS232;RS232;RS232;RS232;0.3;159.8;23.1;79;55.5
22/10/2013;5;0.2;0.27;InVld;RS232;RS232;RS232;RS232;0.4;153.5;22.6;85;39.4
22/10/2013;6;0.2;0.43;InVld;RS232;RS232;RS232;RS232;0.5;142.5;22.5;86;36.4
22/10/2013;7;0.5;0.93;InVld;RS232;RS232;RS232;RS232;1.1;79.4;24.7;75;51.8
22/10/2013;8;0.4;0.44;InVld;RS232;RS232;RS232;RS232;3.4;126.7;26.7;67;24.1
22/10/2013;9;0.4;0.31;InVld;RS232;RS232;RS232;RS232;6;133.5;26.5;66;19.6
22/10/2013;10;0.4;0.24;InVld;RS232;RS232;RS232;RS232;5.5;130.4;26.7;65;20
22/10/2013;11;0.4;0.2;InVld;RS232;RS232;RS232;RS232;5.1;134;27.1;64;22.4
22/10/2013;12;0.4;0.25;InVld;RS232;RS232;RS232;RS232;5.1;124.6;27.6;63;21.4
22/10/2013;13;0.4;0.21;InVld;RS232;RS232;RS232;RS232;4.4;126.9;27.8;62;26.8
22/10/2013;14;0.5;0.29;InVld;RS232;RS232;RS232;RS232;4.1;126.9;27.8;61;22.7
22/10/2013;15;0.4;0.29;InVld;RS232;RS232;RS232;RS232;4.1;119;28;61;21.1
22/10/2013;16;0.5;0.38;InVld;RS232;RS232;RS232;RS232;4.3;130.8;27.2;63;26.8
22/10/2013;17;0.5;0.43;InVld;RS232;RS232;RS232;RS232;3.9;129.4;26.1;67;24.4
22/10/2013;18;0.5;0.57;InVld;RS232;RS232;RS232;RS232;2.9;131.7;25.1;69;24.5
22/10/2013;19;0.5;0.53;InVld;RS232;NoData;NoData;RS232;2.7;136;24.7;71;25.2
22/10/2013;20;0.5;0.49;InVld;RS232;RS232;RS232;RS232;2.5;133.4;24.7;73;25.4
22/10/2013;21;0.4;0.32;NoData;NoData;RS232;RS232;NoData;2.6;124.6;24.6;72;21.1
22/10/2013;22;0.5;0.25;InVld;RS232;RS232;RS232;RS232;2.9;125.7;24.4;73;19.6
