Data_PIR;Hora_PIR;SO2_PIR;CO_PIR;O3_PIR;MP_PIR;NO_PIR;NOX_PIR;NO2_PIR;VEL_VENTO_PIR;DIR_VENTO_PIR;TEMP_PIR;UMID_PIR;STWD_PIR;
2/9/2011;1;0.1;1.01;5.2;NoData;17.8;38.9;21.1;2;210.3;22.7;72;14.7;
2/9/2011;2;0.1;0.78;9.6;NoData;8.1;22.3;14.2;1.7;195.3;22.4;71;20.2;
2/9/2011;3;1.7;0.63;12;NoData;1.5;10.9;9.5;2.2;211.9;21.9;72;11.5;
2/9/2011;4;1.7;0.62;15;NoData;0.5;9;8.5;2.2;211.9;21.7;72;11.9;
2/9/2011;5;1.1;0.44;5.9;NoData;26.2;52;25.8;2.1;216.3;21.6;67;13;
2/9/2011;6;1.6;0.09;1.6;NoData;87.6;132.8;45.2;2.3;224.9;21.9;55;15.1;
2/9/2011;7;1.2;0.02;2.1;NoData;83.7;121.5;37.8;3;227.2;23;53;15.7;
2/9/2011;8;1.3;0.01;10.5;NoData;12.5;27.9;15.4;3.2;228;25.2;49;18.9;
2/9/2011;9;1.4;0.01;16.4;NoData;5.9;14.6;8.7;3.9;231.3;25.8;50;20.3;
2/9/2011;10;1;0.01;16.6;NoData;7.2;16.2;9.1;3.8;237.1;26.3;47;23.4;
2/9/2011;11;1.1;0.01;17.6;NoData;5.3;12.4;7.1;4.1;233.3;26.7;47;18.8;
2/9/2011;12;1.1;0.1;18.5;NoData;4.1;10.6;6.5;3.9;236.9;27;47;21.3;
2/9/2011;13;1;0.11;18.5;NoData;4;9.8;5.8;4.4;236.4;27;48;19.4;
2/9/2011;14;0.5;0.51;16.7;NoData;5.3;11.9;6.6;4.3;234.4;26.9;49;22.5;
2/9/2011;15;0.5;0.9;15.2;NoData;5.7;13.6;7.9;3.8;235.6;26.3;55;22.6;
2/9/2011;16;0.6;0.93;13.7;NoData;7.4;16.5;9.1;4.3;236.1;26.1;52;20.3;
2/9/2011;17;0.5;1.41;10.9;45.4;8.8;20.8;12.1;3.8;225.7;25.3;56;19.2;
2/9/2011;18;0.7;1.97;8.4;41;8;23;15;3.4;223;24;63;17.6;
2/9/2011;19;0.6;2.13;6.3;41;23.5;42.6;19.1;3.6;222.3;23.6;64;15.8;
2/9/2011;20;0.6;1.44;7.1;37.5;26;45.7;19.7;4;225.8;23.4;65;15.2;
2/9/2011;21;0.4;1.97;5.1;37.6;33.3;56.4;23.2;3.9;220.9;23;67;15.6;
2/9/2011;22;0.3;2.3;5.4;48.6;19.4;39;19.6;3.6;211.9;22.8;68;15.1;
2/9/2011;23;0.2;2.73;7.3;48.6;18.1;38.1;20;3.3;211.5;23.1;70;17.2;
2/9/2011;24;0.3;3.36;11.4;44.4;14.5;31.9;17.4;3.9;216.3;23.2;74;14.9;
3/9/2011;1;0.5;0.65;13.8;44.4;8.4;21.5;13.1;3.9;215.8;23.2;75;14.8;
3/9/2011;2;0.4;0.95;17.1;39.3;3.2;11.3;8.1;3.5;208.4;22.9;77;13.9;
3/9/2011;3;0.2;1.81;18;39.3;1.9;7.6;5.7;3.1;201.1;22.9;79;20;
3/9/2011;4;0.2;1.7;21;30.3;0.5;3.9;3.4;4;211.6;22;86;15.1;
3/9/2011;5;0.3;2.16;18.4;30.3;3.5;13.1;9.6;4.3;212.3;22.1;87;14.3;
3/9/2011;6;0.4;2.27;11.8;24.8;13.5;34;20.5;4.4;210.6;22.3;84;17.2;
3/9/2011;7;0.4;2.17;15.1;24.8;10.1;27.1;16.9;5.8;218.7;22.7;80;18.1;
3/9/2011;8;0.5;2.44;15.9;31.2;16.3;34.4;18.1;5.8;213.3;23.9;75;16.9;
3/9/2011;9;0.6;2.61;21.3;31.3;5.1;15.6;10.5;5.6;215;24.1;76;15.6;
3/9/2011;10;0.8;2.7;21.5;40.6;5.7;17;11.3;5.5;216.8;24;77;16.5;
3/9/2011;11;0.6;2.82;22.2;40.5;4.4;15;10.5;4.7;217.8;23.1;80;17.1;
3/9/2011;12;0.5;3.17;22.2;24.9;3.8;15.4;11.6;4.6;226.2;22.8;77;17.2;
3/9/2011;13;0.3;3.06;23.3;25;2.3;11.3;9;4.6;229.8;21.7;85;17.7;
